,z_id,houseType,price,num_beds,num_baths,sqft,lat,lon
48,16834453,House ,29000.0,8.0,7.5,11434.0,32.877136,-117.245575
15,16848353,Apartment ,4200.0,2.0,2.0,1000.0,32.844,-117.27586
111,2078706056,Apartment ,2000.0,1.0,1.0,400.0,32.842533,-117.27541
81,16841605,Apartment ,2400.0,1.0,1.0,710.0,32.862747,-117.234886
75,16835784,Townhouse ,4500.0,3.0,2.5,1714.0,32.868866,-117.23482
157,16847895,Condo ,13000.0,2.0,2.0,2040.0,32.84977,-117.27225
129,2079212847,Apartment ,4900.0,3.0,2.0,1650.0,32.842712,-117.272896
143,67403233,Townhouse ,6500.0,3.0,3.0,2012.0,32.832882,-117.2756
318,2066767381,Apartment ,3800.0,2.0,1.0,1000.0,32.828957,-117.278145
381,2079573380,Apartment ,2175.0,0.0,1.0,400.0,32.848843,-117.27121
388,2066781027,Condo ,3900.0,3.0,2.0,1406.0,32.868713,-117.23702
446,2087043942,Apartment ,2600.0,1.0,1.0,605.0,32.854427,-117.2572
464,63666598,Apartment ,2050.0,1.0,1.0,506.0,32.861206,-117.23426
455,2119142674,Apartment ,1595.0,0.0,1.0,290.0,32.843163,-117.27118
543,16855254,House ,9500.0,4.0,3.0,1904.0,32.822144,-117.26163
602,2075122616,House ,5950.0,3.0,2.0,1500.0,32.809643,-117.25585
579,2098011390,House ,3695.0,2.0,1.0,1300.0,32.83752,-117.27709
669,16858130,House ,6495.0,4.0,2.5,2716.0,32.83102,-117.23536
660,45649027,House ,6500.0,3.0,3.0,2800.0,32.83599,-117.24084
651,16857947,House ,5900.0,3.0,2.0,1932.0,32.820736,-117.24906
648,63789915,Apartment ,2150.0,1.0,1.0,506.0,32.860573,-117.23478
700,16841102,Townhouse ,3100.0,2.0,3.0,1074.0,32.85676,-117.2331
778,32.84052--117.27974,other,,,,,32.84052,-117.27974
755,32.863358--117.23383,other,,,,,32.863358,-117.23383
769,2099876930,House ,4795.0,3.0,2.0,1400.0,32.810513,-117.256775
860,2078716356,Apartment ,3000.0,2.0,1.5,1074.0,32.860123,-117.23322
835,16835310,Townhouse ,3300.0,1.0,1.0,874.0,32.861256,-117.23192
813,16841502,Apartment ,1950.0,1.0,1.0,691.0,32.861904,-117.23384
814,16857384,House ,6295.0,3.0,2.0,1700.0,32.822803,-117.2392
816,16858420,House ,7300.0,3.0,3.5,2469.0,32.817604,-117.248566
819,16856590,House ,6900.0,4.0,3.0,1970.0,32.825027,-117.24272
824,2118819939,Apartment ,1695.0,0.0,1.0,290.0,32.843163,-117.27118
907,16838624,House ,25000.0,3.0,3.0,2800.0,32.859077,-117.253845
914,32.85539--117.25691,other,,,,,32.85539,-117.25691
872,16850472,House ,4450.0,2.0,1.0,1000.0,32.82784,-117.275055
891,2067102682,Apartment ,3400.0,1.0,1.0,,32.84838,-117.27522
940,16838669,House ,12900.0,4.0,3.0,2276.0,32.857777,-117.24791
1025,16841805,Townhouse ,3500.0,3.0,2.5,1467.0,32.85985,-117.23545
1024,16848965,House ,6800.0,3.0,3.5,1164.0,32.838898,-117.27495
1019,2066859908,Apartment ,2895.0,1.0,1.0,602.0,32.84049,-117.27976
1022,16848552,Apartment ,4795.0,2.0,2.0,1117.0,32.84076,-117.281105
1032,16840606,Apartment ,3700.0,3.0,2.5,1458.0,32.85871,-117.233986
1038,2067481695,Apartment ,2625.0,1.0,1.0,691.0,32.852432,-117.251274
986,2073185050,Townhouse ,2950.0,2.0,1.5,1248.0,32.867443,-117.23502
985,16857387,Townhouse ,5375.0,3.0,3.0,1954.0,32.822803,-117.2392
1014,16839002,House ,5500.0,3.0,2.5,2036.0,32.854782,-117.24613
1071,32.868713--117.23702,other,,,,,32.868713,-117.23702
1050,61680312,Apartment ,3500.0,2.0,1.0,784.0,32.841503,-117.271286
1201,16849793,Townhouse ,6500.0,2.0,2.5,1478.0,32.834,-117.275734
1191,17204089,Townhouse ,6200.0,2.0,3.0,2174.0,32.8825,-117.244225
1190,2068008294,Apartment ,2650.0,1.0,1.0,650.0,32.839756,-117.271355
1169,2066502711,House ,4975.0,2.0,2.0,950.0,32.835953,-117.28004
1186,2092976608,Condo ,5900.0,2.0,2.0,1241.0,32.840675,-117.27113
1258,16855407,House ,15000.0,3.0,3.5,2950.0,32.81597,-117.273254
1254,2066780580,Apartment ,4200.0,1.0,1.0,544.0,32.82704,-117.25317
1252,52514281,House ,6495.0,4.0,3.5,2500.0,32.836853,-117.248024
1250,16835609,Townhouse ,2950.0,2.0,1.5,1097.0,32.868713,-117.23702
1260,16841703,Condo ,2890.0,2.0,2.0,1012.0,32.862854,-117.23569
1255,16848625,Apartment ,4500.0,2.0,2.0,1190.0,32.84033,-117.27986
1261,16835841,Apartment ,5000.0,3.0,2.5,1640.0,32.868343,-117.23464
1269,16839432,Condo ,3995.0,2.0,2.0,1485.0,32.85131,-117.25007
1249,16841662,Apartment ,3000.0,2.0,2.0,978.0,32.86399,-117.23512
1228,16840365,House ,4000.0,3.0,2.5,1500.0,32.855778,-117.23459
1225,16851630,House ,19995.0,4.0,3.5,2700.0,32.841896,-117.2525
1231,16849036,House ,6500.0,3.0,2.5,2186.0,32.84301,-117.2678
1243,16847649,Apartment ,13020.0,2.0,2.0,1270.0,32.847584,-117.27665
1236,32.84292--117.279945,"1020-1026 Coast Blvd S., 1024 Coast Blvd S.",,,,,32.84292,-117.279945
1312,2093844753,Apartment ,4950.0,2.0,2.0,1165.0,32.842506,-117.27612
1311,16836263,Apartment ,3700.0,2.0,2.0,1231.0,32.862244,-117.23079
1306,2066638763,House ,4500.0,3.0,2.0,1020.0,32.83692,-117.27529
1323,52513875,House ,9200.0,4.0,3.0,2455.0,32.862755,-117.25364
1280,16850380,Apartment ,1795.0,0.0,1.0,364.0,32.82895,-117.276726
1286,16838990,Townhouse ,5995.0,3.0,3.0,2272.0,32.853363,-117.24619
1287,2080201627,Apartment ,2195.0,1.0,1.0,500.0,32.81107,-117.26596
1275,16836268,Apartment ,3500.0,2.0,2.0,1359.0,32.862335,-117.23133
1293,2070221572,Townhouse ,3300.0,2.0,2.5,1000.0,32.855755,-117.23787
1362,16838890,House ,5000.0,2.0,2.0,945.0,32.855026,-117.25714
1360,16848446,House ,16000.0,4.0,4.0,3294.0,32.844776,-117.26476
1371,2068386155,Apartment ,2520.0,1.0,1.0,620.0,32.86502,-117.232925
1356,16856045,House ,8000.0,3.0,2.0,1879.0,32.81569,-117.26108
1333,52513801,Apartment ,4495.0,3.0,2.5,1992.0,32.86334,-117.232574
1340,2066398345,Apartment ,3895.0,2.0,1.0,,32.848423,-117.275154
1342,16858234,Townhouse ,6800.0,3.0,3.0,2183.0,32.82145,-117.25058
1349,16857444,Townhouse ,5795.0,3.0,3.0,2060.0,32.820736,-117.23567
1347,52513901,House ,7950.0,5.0,4.0,2685.0,32.851246,-117.25471
1345,16848422,House ,12985.0,4.0,4.0,3367.0,32.843475,-117.26853
1348,16839609,Condo ,8500.0,3.0,3.0,2089.0,32.850956,-117.247475
1425,2066508841,Apartment ,2125.0,0.0,1.0,504.0,32.852432,-117.251274
