zpid,id,lotId,imgSrc,hasImage,statusType,statusText,detailUrl,latLong,units,variableData,badgeInfo,buildingName,isBuilding,address,addressStreet,addressState,addressCity,addressZipcode,providerListingId,canSaveBuilding,has3DModel,isFeaturedListing,isSaved,list,relaxed,countryCurrency,price,unformattedPrice,isUndisclosedAddress,beds,baths,area,isZillowOwned,hdpData,isUserClaimingOwner,isUserConfirmedClaim,pgapt,sgapt,zestimate,shouldShowZestimateAsPrice,hasVideo,isHomeRec,hasAdditionalAttributions,availabilityDate,date_parsed,streetViewMetadataURL,streetViewURL
32.86568--117.235725,32.86568--117.235725,1001554478.0,https://photos.zillowstatic.com/fp/c16331bf1bedb76f67c612d72e8a00a0-p_e.jpg,True,FOR_RENT,Solazzo Apartments Homes,/b/solazzo-apartments-homes-la-jolla-ca-5Xk5YK/,"{'latitude': 32.86568, 'longitude': -117.235725}","[{'price': '$2,780+', 'beds': '1'}]","{'type': 'TIME_ON_INFO', 'text': 'Updated today'}",,Solazzo Apartments Homes,True,"8506 Villa La Jolla Dr, La Jolla, CA",8506 Villa La Jolla Dr   # 155,CA,La Jolla,92037.0,12e0rmdse6tpe,True,False,True,False,True,False,,,,,,,,,,,,,,,,,,,,2022-01-17,,
16847649,16847649,,https://photos.zillowstatic.com/fp/af7b882ea70af53320217fbd497d1524-p_e.jpg,True,FOR_RENT,Apartment for rent,https://www.zillow.com/homedetails/909-Coast-Blvd-UNIT-20-La-Jolla-CA-92037/16847649_zpid/,"{'latitude': 32.847584, 'longitude': -117.27665}",,"{'type': 'TIME_ON_INFO', 'text': '17 hours ago', 'data': {'isFresh': True}}",,,,"909 Coast Blvd UNIT 20, La Jolla, CA 92037",909 Coast Blvd UNIT 20,CA,La Jolla,92037.0,14rc7g7fvznyv,,False,False,False,True,False,$,"$13,020/mo",13020.0,False,2.0,2.0,1270.0,False,"{'homeInfo': {'zpid': 16847649, 'streetAddress': '909 Coast Blvd UNIT 20', 'zipcode': '92037', 'city': 'La Jolla', 'state': 'CA', 'latitude': 32.847584, 'longitude': -117.27665, 'price': 13020.0, 'bathrooms': 2.0, 'bedrooms': 2.0, 'livingArea': 1270.0, 'homeType': 'APARTMENT', 'homeStatus': 'FOR_RENT', 'daysOnZillow': -1, 'isFeatured': False, 'shouldHighlight': False, 'isRentalWithBasePrice': False, 'rentZestimate': 4094, 'listing_sub_type': {}, 'isUnmappable': False, 'isPreforeclosureAuction': False, 'homeStatusForHDP': 'FOR_RENT', 'priceForHDP': 13020.0, 'isNonOwnerOccupied': True, 'isPremierBuilder': False, 'isZillowOwned': False, 'currency': 'USD', 'country': 'USA', 'taxAssessedValue': 549877.0, 'unit': 'Unit 20', 'lotAreaValue': 0.6346648301193756, 'lotAreaUnit': 'acres'}}",False,False,ForRent,For Rent,,False,False,False,False,2022-02-01 00:00:00,2022-01-17,,
16835310,16835310,,https://photos.zillowstatic.com/fp/aafbd46ba0dfc8f76b066d68f25d53cd-p_e.jpg,True,FOR_RENT,Townhouse for rent,https://www.zillow.com/homedetails/3362-Via-Alicante-La-Jolla-CA-92037/16835310_zpid/,"{'latitude': 32.861256, 'longitude': -117.23192}",,"{'type': 'TIME_ON_INFO', 'text': 'Updated yesterday', 'data': {'isFresh': True}}",,,,"3362 Via Alicante, La Jolla, CA 92037",3362 Via Alicante,CA,La Jolla,92037.0,3kt40njpy9egr,,False,False,False,True,False,$,"$3,300/mo",3300.0,False,1.0,1.0,874.0,False,"{'homeInfo': {'zpid': 16835310, 'streetAddress': '3362 Via Alicante', 'zipcode': '92037', 'city': 'La Jolla', 'state': 'CA', 'latitude': 32.861256, 'longitude': -117.23192, 'price': 3300.0, 'bathrooms': 1.0, 'bedrooms': 1.0, 'livingArea': 874.0, 'homeType': 'TOWNHOUSE', 'homeStatus': 'FOR_RENT', 'daysOnZillow': -1, 'isFeatured': False, 'shouldHighlight': False, 'isRentalWithBasePrice': False, 'zestimate': 565300, 'rentZestimate': 2540, 'listing_sub_type': {}, 'isUnmappable': False, 'isPreforeclosureAuction': False, 'homeStatusForHDP': 'FOR_RENT', 'priceForHDP': 3300.0, 'isNonOwnerOccupied': True, 'isPremierBuilder': False, 'isZillowOwned': False, 'currency': 'USD', 'country': 'USA', 'taxAssessedValue': 389871.0, 'lotAreaValue': 6.657828282828283, 'lotAreaUnit': 'acres'}}",False,False,ForRent,For Rent,565300.0,False,False,False,False,,2022-01-17,,
2066780580,2066780580,,https://photos.zillowstatic.com/fp/816e371b218ee6ec1dfd10faafb02832-p_e.jpg,True,FOR_RENT,Apartment for rent,https://www.zillow.com/homedetails/6105-La-Jolla-Scenic-Dr-S-APT-B-La-Jolla-CA-92037/2066780580_zpid/,"{'latitude': 32.82704, 'longitude': -117.25317}",,"{'type': 'TIME_ON_INFO', 'text': '20 hours ago', 'data': {'isFresh': True}}",,,,"6105 La Jolla Scenic Dr S APT B, La Jolla, CA 92037",6105 La Jolla Scenic Dr S APT B,CA,La Jolla,92037.0,1zcc7rpx0942,,False,False,False,True,False,$,"$4,200/mo",4200.0,False,1.0,1.0,544.0,False,"{'homeInfo': {'zpid': 2066780580, 'streetAddress': '6105 La Jolla Scenic Dr S APT B', 'zipcode': '92037', 'city': 'La Jolla', 'state': 'CA', 'latitude': 32.82704, 'longitude': -117.25317, 'price': 4200.0, 'bathrooms': 1.0, 'bedrooms': 1.0, 'livingArea': 544.0, 'homeType': 'APARTMENT', 'homeStatus': 'FOR_RENT', 'daysOnZillow': -1, 'isFeatured': False, 'shouldHighlight': False, 'isRentalWithBasePrice': False, 'listing_sub_type': {}, 'isUnmappable': False, 'isPreforeclosureAuction': False, 'homeStatusForHDP': 'FOR_RENT', 'priceForHDP': 4200.0, 'isNonOwnerOccupied': True, 'isPremierBuilder': False, 'isZillowOwned': False, 'currency': 'USD', 'country': 'USA', 'unit': 'Apt B'}}",False,False,ForRent,For Rent,,False,False,False,False,,2022-01-17,,
2066781027,2066781027,,https://photos.zillowstatic.com/fp/8d361b12a406d125e0f8bc50f1e40eb2-p_e.jpg,True,FOR_RENT,Townhouse for rent,https://www.zillow.com/homedetails/3139-Evening-Way-La-Jolla-CA-92037/2066781027_zpid/,"{'latitude': 32.868713, 'longitude': -117.23702}",,"{'type': 'TIME_ON_INFO', 'text': '22 hours ago', 'data': {'isFresh': True}}",,,,"3139 Evening Way, La Jolla, CA 92037",3139 Evening Way,CA,La Jolla,92037.0,1wkh49ex9a823,,False,False,False,True,False,$,"$3,900/mo",3900.0,False,3.0,2.0,1400.0,False,"{'homeInfo': {'zpid': 2066781027, 'streetAddress': '3139 Evening Way', 'zipcode': '92037', 'city': 'La Jolla', 'state': 'CA', 'latitude': 32.868713, 'longitude': -117.23702, 'price': 3900.0, 'bathrooms': 2.0, 'bedrooms': 3.0, 'livingArea': 1400.0, 'homeType': 'TOWNHOUSE', 'homeStatus': 'FOR_RENT', 'daysOnZillow': -1, 'isFeatured': False, 'shouldHighlight': False, 'isRentalWithBasePrice': False, 'listing_sub_type': {}, 'isUnmappable': False, 'isPreforeclosureAuction': False, 'homeStatusForHDP': 'FOR_RENT', 'priceForHDP': 3900.0, 'isNonOwnerOccupied': True, 'isPremierBuilder': False, 'isZillowOwned': False, 'currency': 'USD', 'country': 'USA'}}",False,False,ForRent,For Rent,,False,False,False,False,,2022-01-17,,
2079212847,2079212847,,https://photos.zillowstatic.com/fp/7cfde488c37449b7f9b916aaf1cb9af3-p_e.jpg,True,FOR_RENT,Apartment for rent,https://www.zillow.com/homedetails/7629-Girard-Ave-La-Jolla-CA-92037/2079212847_zpid/,"{'latitude': 32.842712, 'longitude': -117.272896}",,"{'type': 'TIME_ON_INFO', 'text': '1 day ago', 'data': {'isFresh': False}}",,,,"7629 Girard Ave, La Jolla, CA 92037",7629 Girard Ave,CA,La Jolla,92037.0,4nh6vnbvhny26,,False,False,False,True,False,$,"$4,900/mo",4900.0,False,3.0,2.0,1650.0,False,"{'homeInfo': {'zpid': 2079212847, 'streetAddress': '7629 Girard Ave', 'zipcode': '92037', 'city': 'La Jolla', 'state': 'CA', 'latitude': 32.842712, 'longitude': -117.272896, 'price': 4900.0, 'bathrooms': 2.0, 'bedrooms': 3.0, 'livingArea': 1650.0, 'homeType': 'APARTMENT', 'homeStatus': 'FOR_RENT', 'daysOnZillow': -1, 'isFeatured': False, 'shouldHighlight': False, 'isRentalWithBasePrice': False, 'rentZestimate': 4964, 'listing_sub_type': {}, 'isUnmappable': False, 'isPreforeclosureAuction': False, 'homeStatusForHDP': 'FOR_RENT', 'priceForHDP': 4900.0, 'isNonOwnerOccupied': True, 'isPremierBuilder': False, 'isZillowOwned': False, 'currency': 'USD', 'country': 'USA'}}",False,False,ForRent,For Rent,,False,False,False,False,2022-02-01 00:00:00,2022-01-17,,
16848625,16848625,,https://photos.zillowstatic.com/fp/aaaa79babf38f1f3fb9f84deafab8038-p_e.jpg,True,FOR_RENT,Apartment for rent,https://www.zillow.com/homedetails/303-Prospect-St-La-Jolla-CA-92037/16848625_zpid/,"{'latitude': 32.84033, 'longitude': -117.27986}",,"{'type': 'TIME_ON_INFO', 'text': '1 day ago', 'data': {'isFresh': False}}",,,,"303 Prospect St, La Jolla, CA 92037",303 Prospect St,CA,La Jolla,92037.0,1xt298wt2qx8b,,False,False,False,True,False,$,"$4,500/mo",4500.0,False,2.0,2.0,1190.0,False,"{'homeInfo': {'zpid': 16848625, 'streetAddress': '303 Prospect St', 'zipcode': '92037', 'city': 'La Jolla', 'state': 'CA', 'latitude': 32.84033, 'longitude': -117.27986, 'price': 4500.0, 'bathrooms': 2.0, 'bedrooms': 2.0, 'livingArea': 1190.0, 'homeType': 'APARTMENT', 'homeStatus': 'FOR_RENT', 'daysOnZillow': -1, 'isFeatured': False, 'shouldHighlight': False, 'isRentalWithBasePrice': False, 'zestimate': 1002200, 'rentZestimate': 4270, 'listing_sub_type': {}, 'isUnmappable': False, 'isPreforeclosureAuction': False, 'homeStatusForHDP': 'FOR_RENT', 'priceForHDP': 4500.0, 'isNonOwnerOccupied': True, 'isPremierBuilder': False, 'isZillowOwned': False, 'currency': 'USD', 'country': 'USA', 'taxAssessedValue': 322231.0, 'lotAreaValue': 8359.0, 'lotAreaUnit': 'sqft'}}",False,False,ForRent,For Rent,1002200.0,False,False,False,False,2022-01-15 00:00:00,2022-01-17,,
32.841976--117.27955,32.841976--117.27955,1001635123.0,https://photos.zillowstatic.com/fp/025e0ccd6d52b666e3ea755697884942-p_e.jpg,True,FOR_RENT,Ocean House on Prospect Apartment Homes,/b/ocean-house-on-prospect-apartment-homes-la-jolla-ca-5Xkm98/,"{'latitude': 32.841976, 'longitude': -117.27955}","[{'price': '$4,990+', 'beds': '1'}, {'price': '$10,114+', 'beds': '2'}]","{'type': 'TIME_ON_INFO', 'text': None}",,Ocean House on Prospect Apartment Homes,True,"400 Prospect St, La Jolla, CA",400 Prospect St   Unit 401,CA,La Jolla,92037.0,1b6vkhb2936ea,True,False,True,False,True,False,,,,,,,,,,,,,,,,,,,,2022-01-17,,
32.84523--117.27234,32.84523--117.27234,2079470957.0,https://photos.zillowstatic.com/fp/b49bd18debda8a010d9e00d9e4b08617-p_e.jpg,True,FOR_RENT,1141 SILVERADO ST.,/b/1141-silverado-st.-la-jolla-ca-9MjDMp/,"{'latitude': 32.84523, 'longitude': -117.27234}","[{'price': '$1,800+', 'beds': '0'}]","{'type': 'TIME_ON_INFO', 'text': None}",,1141 SILVERADO ST.,True,"1141 Silverado St, La Jolla, CA",1141 Silverado St   # 104,CA,La Jolla,92037.0,1h8tdq4pf1rja,True,False,True,False,True,False,,,,,,,,,,,,,,,,,,,,2022-01-17,,
16857947,16857947,,https://photos.zillowstatic.com/fp/fd46bf55dcae5c168e986c3705fbb085-p_e.jpg,True,FOR_RENT,House for rent,https://www.zillow.com/homedetails/1540-Alta-La-Jolla-Dr-La-Jolla-CA-92037/16857947_zpid/,"{'latitude': 32.820736, 'longitude': -117.24906}",,"{'type': 'TIME_ON_INFO', 'text': '2 days ago', 'data': {'isFresh': False}}",,,,"1540 Alta La Jolla Dr, La Jolla, CA 92037",1540 Alta La Jolla Dr,CA,La Jolla,92037.0,51e9e3tpd18bk,,False,True,False,True,False,$,"$5,990/mo",5990.0,False,3.0,2.0,1932.0,False,"{'homeInfo': {'zpid': 16857947, 'streetAddress': '1540 Alta La Jolla Dr', 'zipcode': '92037', 'city': 'La Jolla', 'state': 'CA', 'latitude': 32.820736, 'longitude': -117.24906, 'price': 5990.0, 'datePriceChanged': 1641888000000, 'bathrooms': 2.0, 'bedrooms': 3.0, 'livingArea': 1932.0, 'homeType': 'SINGLE_FAMILY', 'homeStatus': 'FOR_RENT', 'daysOnZillow': -1, 'isFeatured': True, 'shouldHighlight': False, 'isRentalWithBasePrice': False, 'zestimate': 1364500, 'rentZestimate': 5495, 'listing_sub_type': {}, 'priceReduction': '$905 (Jan 11)', 'isUnmappable': False, 'isPreforeclosureAuction': False, 'homeStatusForHDP': 'FOR_RENT', 'priceForHDP': 5990.0, 'priceChange': -905, 'isNonOwnerOccupied': True, 'isPremierBuilder': False, 'isZillowOwned': False, 'currency': 'USD', 'country': 'USA', 'taxAssessedValue': 726965.0, 'lotAreaValue': 1.8023186409550045, 'lotAreaUnit': 'acres'}}",False,False,ForRent,For Rent,1364500.0,False,False,False,False,2022-01-15 00:00:00,2022-01-17,,
